filename,track_len
cell_00291.csv,73
cell_00292.csv,19
cell_00293.csv,17
cell_00294.csv,10
cell_00295.csv,23
cell_00296.csv,33
cell_00297.csv,71
cell_00298.csv,3
cell_00299.csv,17
cell_00300.csv,9
cell_00301.csv,19
cell_00302.csv,4
cell_00303.csv,15
cell_00304.csv,5
cell_00305.csv,10
cell_00306.csv,3
cell_00307.csv,24
cell_00308.csv,9
cell_00309.csv,13
cell_00310.csv,65
cell_00311.csv,9
cell_00312.csv,58
cell_00313.csv,15
cell_00314.csv,2
cell_00315.csv,17
cell_00316.csv,27
cell_00317.csv,6
cell_00318.csv,57
cell_00319.csv,16
cell_00320.csv,37
cell_00321.csv,11
cell_00322.csv,18
cell_00323.csv,133
cell_00324.csv,343
cell_00325.csv,2
cell_00326.csv,1
cell_00327.csv,11
cell_00328.csv,80
cell_00329.csv,8
cell_00330.csv,79
cell_00331.csv,36
cell_00332.csv,3
cell_00333.csv,7
cell_00334.csv,51
cell_00335.csv,15
cell_00336.csv,49
cell_00337.csv,6
cell_00338.csv,28
cell_00339.csv,8
cell_00340.csv,12
cell_00341.csv,3
cell_00342.csv,4
cell_00343.csv,18
cell_00344.csv,34
cell_00345.csv,38
cell_00346.csv,34
cell_00347.csv,3
cell_00348.csv,22
cell_00349.csv,7
cell_00350.csv,25
cell_00351.csv,217
cell_00352.csv,169
cell_00353.csv,533
cell_00354.csv,155
cell_00355.csv,18
cell_00356.csv,4
cell_00357.csv,55
cell_00358.csv,2
cell_00359.csv,39
cell_00360.csv,159
cell_00361.csv,6
cell_00362.csv,7
cell_00363.csv,10
cell_00364.csv,18
cell_00365.csv,3
cell_00366.csv,40
cell_00367.csv,3
cell_00368.csv,1
cell_00369.csv,8
cell_00370.csv,2
cell_00371.csv,2
cell_00372.csv,12
cell_00373.csv,12
cell_00374.csv,27
cell_00375.csv,210
cell_00376.csv,25
cell_00377.csv,389
cell_00378.csv,3
cell_00379.csv,83
cell_00380.csv,10
cell_00381.csv,3
cell_00382.csv,3
cell_00383.csv,50
cell_00384.csv,11
cell_00385.csv,23
cell_00386.csv,12
cell_00387.csv,21
cell_00388.csv,2
cell_00389.csv,20
cell_00390.csv,29
cell_00391.csv,3
cell_00392.csv,7
cell_00393.csv,21
cell_00394.csv,32
cell_00395.csv,21
cell_00396.csv,3
cell_00397.csv,19
cell_00398.csv,3
cell_00399.csv,49
cell_00400.csv,6
cell_00401.csv,15
cell_00402.csv,1
cell_00403.csv,12
cell_00404.csv,166
cell_00405.csv,548
cell_00406.csv,28
cell_00407.csv,16
cell_00408.csv,23
cell_00409.csv,19
cell_00410.csv,10
cell_00411.csv,13
cell_00412.csv,6
cell_00413.csv,8
cell_00414.csv,42
cell_00415.csv,2
cell_00416.csv,34
cell_00417.csv,11
cell_00418.csv,4
cell_00419.csv,219
cell_00420.csv,25
cell_00421.csv,4
cell_00422.csv,1
cell_00423.csv,105
cell_00424.csv,17
cell_00425.csv,25
cell_00426.csv,8
cell_00427.csv,32
cell_00428.csv,18
cell_00429.csv,46
cell_00430.csv,7
cell_00431.csv,3
cell_00432.csv,2
cell_00433.csv,2
cell_00434.csv,95
cell_00435.csv,2
cell_00436.csv,13
cell_00437.csv,5
cell_00438.csv,7
cell_00439.csv,277
cell_00440.csv,3
cell_00441.csv,147
cell_00442.csv,12
cell_00443.csv,18
cell_00444.csv,14
cell_00445.csv,39
